STDR_YM_CD,RD_LINK_ID,SIGNGU_CD,ADSTRD_CD,DAYWEEK_CD,AGRDE_CD,TMZON_CD,FLPOP_CO
201510,121887,11560,11560540,1,40,03,53
201510,121887,11560,11560540,1,40,04,64
201510,121887,11560,11560540,1,40,05,55
201510,121887,11560,11560540,1,40,06,11
201510,121887,11560,11560540,1,50,00,141
201510,121887,11560,11560540,1,50,01,1
201510,121887,11560,11560540,1,50,02,30
201510,121887,11560,11560540,1,50,03,35
201510,121887,11560,11560540,1,50,04,39
201510,121887,11560,11560540,1,50,05,30
201510,121887,11560,11560540,1,50,06,6
201510,121887,11560,11560540,1,60,00,54
201510,121887,11560,11560540,1,60,01,0
201510,121887,11560,11560540,1,60,02,12
201510,121887,11560,11560540,1,60,03,16
201510,121887,11560,11560540,1,60,04,15
201510,121887,11560,11560540,1,60,05,9
201510,121887,11560,11560540,1,60,06,2
201510,121887,11560,11560540,2,00,00,274
201510,121887,11560,11560540,2,00,01,4
201510,121887,11560,11560540,2,00,02,42
201510,121887,11560,11560540,2,00,03,76
201510,121887,11560,11560540,2,00,04,75
201510,121887,11560,11560540,2,00,05,63
201510,121887,11560,11560540,2,00,06,14
201510,121887,11560,11560540,2,10,00,16
201510,121887,11560,11560540,2,10,01,0
201510,121887,11560,11560540,2,10,02,1
201510,121887,11560,11560540,2,10,03,3
201510,121887,11560,11560540,2,10,04,4
201510,121887,11560,11560540,2,10,05,6
201510,121887,11560,11560540,2,10,06,2
201510,121887,11560,11560540,2,20,00,44
201510,121887,11560,11560540,2,20,01,1
201510,121887,11560,11560540,2,20,02,4
201510,121887,11560,11560540,2,20,03,9
201510,121887,11560,11560540,2,20,04,12
201510,121887,11560,11560540,2,20,05,14
201510,121887,11560,11560540,2,20,06,4
201510,121887,11560,11560540,2,30,00,63
201510,121887,11560,11560540,2,30,01,2
201510,121887,11560,11560540,2,30,02,8
201510,121887,11560,11560540,2,30,03,16
201510,121887,11560,11560540,2,30,04,18
201510,121887,11560,11560540,2,30,05,16
201510,121887,11560,11560540,2,30,06,3
201510,121887,11560,11560540,2,40,00,56
201510,121887,11560,11560540,2,40,01,1
201510,121887,11560,11560540,2,40,02,9
201510,121887,11560,11560540,2,40,03,16
201510,121887,11560,11560540,2,40,04,15
201510,121887,11560,11560540,2,40,05,13
201510,121887,11560,11560540,2,40,06,3
201510,121887,11560,11560540,2,50,00,57
201510,121887,11560,11560540,2,50,01,0
201510,121887,11560,11560540,2,50,02,11
201510,121887,11560,11560540,2,50,03,18
201510,121887,11560,11560540,2,50,04,16
201510,121887,11560,11560540,2,50,05,10
201510,121887,11560,11560540,2,50,06,2
201510,121887,11560,11560540,2,60,00,37
201510,121887,11560,11560540,2,60,01,0
201510,121887,11560,11560540,2,60,02,9
201510,121887,11560,11560540,2,60,03,14
201510,121887,11560,11560540,2,60,04,10
201510,121887,11560,11560540,2,60,05,4
201510,121887,11560,11560540,2,60,06,0
201510,122452,11560,11560540,1,00,00,744
201510,122452,11560,11560540,1,00,01,6
201510,122452,11560,11560540,1,00,02,135
201510,122452,11560,11560540,1,00,03,186
201510,122452,11560,11560540,1,00,04,197
201510,122452,11560,11560540,1,00,05,179
201510,122452,11560,11560540,1,00,06,41
201510,122452,11560,11560540,1,10,00,3
201510,122452,11560,11560540,1,10,01,0
