STDR_YM_CD,RD_LINK_ID,SIGNGU_CD,ADSTRD_CD,DAYWEEK_CD,AGRDE_CD,TMZON_CD,FLPOP_CO
201507,121887,11560,11560540,1,40,03,53
201507,121887,11560,11560540,1,40,04,63
201507,121887,11560,11560540,1,40,05,52
201507,121887,11560,11560540,1,40,06,10
201507,121887,11560,11560540,1,50,00,131
201507,121887,11560,11560540,1,50,01,1
201507,121887,11560,11560540,1,50,02,26
201507,121887,11560,11560540,1,50,03,32
201507,121887,11560,11560540,1,50,04,38
201507,121887,11560,11560540,1,50,05,28
201507,121887,11560,11560540,1,50,06,5
201507,121887,11560,11560540,1,60,00,49
201507,121887,11560,11560540,1,60,01,0
201507,121887,11560,11560540,1,60,02,11
201507,121887,11560,11560540,1,60,03,14
201507,121887,11560,11560540,1,60,04,14
201507,121887,11560,11560540,1,60,05,9
201507,121887,11560,11560540,1,60,06,2
201507,121887,11560,11560540,2,00,00,155
201507,121887,11560,11560540,2,00,01,4
201507,121887,11560,11560540,2,00,02,23
201507,121887,11560,11560540,2,00,03,44
201507,121887,11560,11560540,2,00,04,42
201507,121887,11560,11560540,2,00,05,35
201507,121887,11560,11560540,2,00,06,7
201507,121887,11560,11560540,2,10,00,4
201507,121887,11560,11560540,2,10,01,0
201507,121887,11560,11560540,2,10,02,1
201507,121887,11560,11560540,2,10,03,1
201507,121887,11560,11560540,2,10,04,1
201507,121887,11560,11560540,2,10,05,1
201507,121887,11560,11560540,2,10,06,0
201507,121887,11560,11560540,2,20,00,24
201507,121887,11560,11560540,2,20,01,1
201507,121887,11560,11560540,2,20,02,2
201507,121887,11560,11560540,2,20,03,6
201507,121887,11560,11560540,2,20,04,7
201507,121887,11560,11560540,2,20,05,7
201507,121887,11560,11560540,2,20,06,2
201507,121887,11560,11560540,2,30,00,40
201507,121887,11560,11560540,2,30,01,2
201507,121887,11560,11560540,2,30,02,5
201507,121887,11560,11560540,2,30,03,10
201507,121887,11560,11560540,2,30,04,11
201507,121887,11560,11560540,2,30,05,10
201507,121887,11560,11560540,2,30,06,2
201507,121887,11560,11560540,2,40,00,37
201507,121887,11560,11560540,2,40,01,1
201507,121887,11560,11560540,2,40,02,6
201507,121887,11560,11560540,2,40,03,10
201507,121887,11560,11560540,2,40,04,10
201507,121887,11560,11560540,2,40,05,8
201507,121887,11560,11560540,2,40,06,2
201507,121887,11560,11560540,2,50,00,33
201507,121887,11560,11560540,2,50,01,1
201507,121887,11560,11560540,2,50,02,6
201507,121887,11560,11560540,2,50,03,10
201507,121887,11560,11560540,2,50,04,9
201507,121887,11560,11560540,2,50,05,6
201507,121887,11560,11560540,2,50,06,1
201507,121887,11560,11560540,2,60,00,18
201507,121887,11560,11560540,2,60,01,0
201507,121887,11560,11560540,2,60,02,4
201507,121887,11560,11560540,2,60,03,7
201507,121887,11560,11560540,2,60,04,5
201507,121887,11560,11560540,2,60,05,2
201507,121887,11560,11560540,2,60,06,0
201507,122452,11560,11560540,1,00,00,220
201507,122452,11560,11560540,1,00,01,1
201507,122452,11560,11560540,1,00,02,42
201507,122452,11560,11560540,1,00,03,57
201507,122452,11560,11560540,1,00,04,64
201507,122452,11560,11560540,1,00,05,49
201507,122452,11560,11560540,1,00,06,8
201507,122452,11560,11560540,1,10,00,0
201507,122452,11560,11560540,1,10,01,0
201507,122452,11560,11560540,1,10,02,0
201507,122452,11560,11560540,1,10,03,0
201507,122452,11560,11560540,1,10,04,0
201507,122452,11560,11560540,1,10,05,0
201507,122452,11560,11560540,1,10,06,0
201507,122452,11560,11560540,1,20,00,24
201507,122452,11560,11560540,1,20,01,0
201507,122452,11560,11560540,1,20,02,4
201507,122452,11560,11560540,1,20,03,6
201507,122452,11560,11560540,1,20,04,7
201507,122452,11560,11560540,1,20,05,6
201507,122452,11560,11560540,1,20,06,1
201507,122452,11560,11560540,1,30,00,66
201507,122452,11560,11560540,1,30,01,0
201507,122452,11560,11560540,1,30,02,13
201507,122452,11560,11560540,1,30,03,17
201507,122452,11560,11560540,1,30,04,19
201507,122452,11560,11560540,1,30,05,16
201507,122452,11560,11560540,1,30,06,2
201507,122452,11560,11560540,1,40,00,63
201507,122452,11560,11560540,1,40,01,0
201507,122452,11560,11560540,1,40,02,12
201507,122452,11560,11560540,1,40,03,16
201507,122452,11560,11560540,1,40,04,19
201507,122452,11560,11560540,1,40,05,14
201507,122452,11560,11560540,1,40,06,2
201507,122452,11560,11560540,1,50,00,46
201507,122452,11560,11560540,1,50,01,0
201507,122452,11560,11560540,1,50,02,9
201507,122452,11560,11560540,1,50,03,12
201507,122452,11560,11560540,1,50,04,14
201507,122452,11560,11560540,1,50,05,10
201507,122452,11560,11560540,1,50,06,2
201507,122452,11560,11560540,1,60,00,20
201507,122452,11560,11560540,1,60,01,0
201507,122452,11560,11560540,1,60,02,4
201507,122452,11560,11560540,1,60,03,6
201507,122452,11560,11560540,1,60,04,6
201507,122452,11560,11560540,1,60,05,3
201507,122452,11560,11560540,1,60,06,1
201507,122452,11560,11560540,2,00,00,44
201507,122452,11560,11560540,2,00,01,0
201507,122452,11560,11560540,2,00,02,6
201507,122452,11560,11560540,2,00,03,15
201507,122452,11560,11560540,2,00,04,13
201507,122452,11560,11560540,2,00,05,9
201507,122452,11560,11560540,2,00,06,1
201507,122452,11560,11560540,2,10,00,1
201507,122452,11560,11560540,2,10,01,0
201507,122452,11560,11560540,2,10,02,0
201507,122452,11560,11560540,2,10,03,0
201507,122452,11560,11560540,2,10,04,0
201507,122452,11560,11560540,2,10,05,0
201507,122452,11560,11560540,2,10,06,0
201507,122452,11560,11560540,2,20,00,4
201507,122452,11560,11560540,2,20,01,0
201507,122452,11560,11560540,2,20,02,0
201507,122452,11560,11560540,2,20,03,2
201507,122452,11560,11560540,2,20,04,1
201507,122452,11560,11560540,2,20,05,1
201507,122452,11560,11560540,2,20,06,0
201507,122452,11560,11560540,2,30,00,10
201507,122452,11560,11560540,2,30,01,0
201507,122452,11560,11560540,2,30,02,1
201507,122452,11560,11560540,2,30,03,3
201507,122452,11560,11560540,2,30,04,3
201507,122452,11560,11560540,2,30,05,2
201507,122452,11560,11560540,2,30,06,0
201507,122452,11560,11560540,2,40,00,11
201507,122452,11560,11560540,2,40,01,0
201507,122452,11560,11560540,2,40,02,1
201507,122452,11560,11560540,2,40,03,3
201507,122452,11560,11560540,2,40,04,3
201507,122452,11560,11560540,2,40,05,2
201507,122452,11560,11560540,2,40,06,0
201507,122452,11560,11560540,2,50,00,11
201507,122452,11560,11560540,2,50,01,0
201507,122452,11560,11560540,2,50,02,2
201507,122452,11560,11560540,2,50,03,4
201507,122452,11560,11560540,2,50,04,3
201507,122452,11560,11560540,2,50,05,2
201507,122452,11560,11560540,2,50,06,0
201507,122452,11560,11560540,2,60,00,6
201507,122452,11560,11560540,2,60,01,0
201507,122452,11560,11560540,2,60,02,1
201507,122452,11560,11560540,2,60,03,3
201507,122452,11560,11560540,2,60,04,2
201507,122452,11560,11560540,2,60,05,1
201507,122452,11560,11560540,2,60,06,0
201507,122566,11560,11560540,1,00,00,1267
201507,122566,11560,11560540,1,00,01,11
201507,122566,11560,11560540,1,00,02,227
201507,122566,11560,11560540,1,00,03,301
201507,122566,11560,11560540,1,00,04,333
201507,122566,11560,11560540,1,00,05,320
201507,122566,11560,11560540,1,00,06,75
201507,122566,11560,11560540,1,10,00,11
201507,122566,11560,11560540,1,10,01,0
201507,122566,11560,11560540,1,10,02,0
201507,122566,11560,11560540,1,10,03,1
201507,122566,11560,11560540,1,10,04,2
201507,122566,11560,11560540,1,10,05,5
201507,122566,11560,11560540,1,10,06,2
201507,122566,11560,11560540,1,20,00,165
201507,122566,11560,11560540,1,20,01,2
201507,122566,11560,11560540,1,20,02,26
201507,122566,11560,11560540,1,20,03,36
201507,122566,11560,11560540,1,20,04,39
201507,122566,11560,11560540,1,20,05,48
201507,122566,11560,11560540,1,20,06,15
201507,122566,11560,11560540,1,30,00,397
201507,122566,11560,11560540,1,30,01,4
201507,122566,11560,11560540,1,30,02,70
201507,122566,11560,11560540,1,30,03,93
201507,122566,11560,11560540,1,30,04,103
201507,122566,11560,11560540,1,30,05,105
201507,122566,11560,11560540,1,30,06,22
201507,122566,11560,11560540,1,40,00,375
201507,122566,11560,11560540,1,40,01,3
201507,122566,11560,11560540,1,40,02,68
201507,122566,11560,11560540,1,40,03,89
201507,122566,11560,11560540,1,40,04,103
201507,122566,11560,11560540,1,40,05,94
201507,122566,11560,11560540,1,40,06,19
201507,122566,11560,11560540,1,50,00,230
201507,122566,11560,11560540,1,50,01,2
201507,122566,11560,11560540,1,50,02,44
201507,122566,11560,11560540,1,50,03,57
201507,122566,11560,11560540,1,50,04,63
201507,122566,11560,11560540,1,50,05,52
201507,122566,11560,11560540,1,50,06,13
201507,122566,11560,11560540,1,60,00,88
201507,122566,11560,11560540,1,60,01,0
201507,122566,11560,11560540,1,60,02,18
201507,122566,11560,11560540,1,60,03,25
201507,122566,11560,11560540,1,60,04,24
201507,122566,11560,11560540,1,60,05,17
201507,122566,11560,11560540,1,60,06,4
201507,122566,11560,11560540,2,00,00,483
201507,122566,11560,11560540,2,00,01,11
201507,122566,11560,11560540,2,00,02,77
201507,122566,11560,11560540,2,00,03,124
201507,122566,11560,11560540,2,00,04,127
201507,122566,11560,11560540,2,00,05,113
201507,122566,11560,11560540,2,00,06,32
201507,122566,11560,11560540,2,10,00,24
201507,122566,11560,11560540,2,10,01,0
201507,122566,11560,11560540,2,10,02,3
201507,122566,11560,11560540,2,10,03,5
201507,122566,11560,11560540,2,10,04,5
201507,122566,11560,11560540,2,10,05,8
201507,122566,11560,11560540,2,10,06,3
201507,122566,11560,11560540,2,20,00,79
201507,122566,11560,11560540,2,20,01,2
201507,122566,11560,11560540,2,20,02,7
201507,122566,11560,11560540,2,20,03,14
201507,122566,11560,11560540,2,20,04,20
201507,122566,11560,11560540,2,20,05,26
201507,122566,11560,11560540,2,20,06,10
201507,122566,11560,11560540,2,30,00,125
201507,122566,11560,11560540,2,30,01,4
201507,122566,11560,11560540,2,30,02,15
201507,122566,11560,11560540,2,30,03,30
201507,122566,11560,11560540,2,30,04,35
201507,122566,11560,11560540,2,30,05,33
201507,122566,11560,11560540,2,30,06,8
201507,122566,11560,11560540,2,40,00,105
201507,122566,11560,11560540,2,40,01,3
201507,122566,11560,11560540,2,40,02,18
201507,122566,11560,11560540,2,40,03,28
201507,122566,11560,11560540,2,40,04,28
201507,122566,11560,11560540,2,40,05,22
201507,122566,11560,11560540,2,40,06,6
201507,122566,11560,11560540,2,50,00,91
201507,122566,11560,11560540,2,50,01,2
201507,122566,11560,11560540,2,50,02,19
201507,122566,11560,11560540,2,50,03,26
201507,122566,11560,11560540,2,50,04,23
201507,122566,11560,11560540,2,50,05,16
201507,122566,11560,11560540,2,50,06,4
201507,122566,11560,11560540,2,60,00,60
201507,122566,11560,11560540,2,60,01,0
